codigo_articulo_proveedor,tipo_repuesto_id,valor,marca_id,fecha_costo,estado_id
4000-ACB,1,2905,2,2020-08-08,1
4002-AN,1,456,2,2020-08-08,1
4004-AC,1,453,2,2020-08-08,1
4006-AC,1,505,2,2020-08-08,1
4008-AC,1,380,2,2020-08-08,1
4010-A,1,415,2,2020-08-08,1
4012-AX,1,2164,2,2020-08-08,1
4014-AC,1,638,2,2020-08-08,1
4016-AN,1,616,2,2020-08-08,1
4022-AC,1,414,2,2020-08-08,1
4024-AC,1,414,2,2020-08-08,1
4026-AN,1,1333,2,2020-08-08,1
4018-AN,1,493,2,2020-08-08,1
4032-AN,1,1569,2,2020-08-08,1
4038-AN,1,716,2,2020-08-08,1
4034-AN,1,761,2,2020-08-08,1
4036-AN,1,643,2,2020-08-08,1
4042-AC,1,571,2,2020-08-08,1
4080-AN,1,478,2,2020-08-08,1
4046-AN,1,1524,2,2020-08-08,1
4078-AC,1,1492,2,2020-08-08,1
4054-AC,1,477,2,2020-08-08,1
4066-A,1,554,2,2020-08-08,1
4056-AC,1,1074,2,2020-08-08,1
4062-AN,1,503,2,2020-08-08,1
4058-AC,1,1527,2,2020-08-08,1
4060-AN,1,720,2,2020-08-08,1
4082-A,1,354,2,2020-08-08,1
4088-AC,1,608,2,2020-08-08,1
4094-AC,1,1002,2,2020-08-08,1
4094-AX,1,3744,2,2020-08-08,1
4096-AC,1,519,2,2020-08-08,1
4110-AC,1,841,2,2020-08-08,1
4100-A,1,938,2,2020-08-08,1
4104-A,1,569,2,2020-08-08,1
4112-AC,1,551,2,2020-08-08,1
4144-A,1,655,2,2020-08-08,1
4116-A,1,725,2,2020-08-08,1
4142-A,1,977,2,2020-08-08,1
4118-A,1,327,2,2020-08-08,1
4136-A,1,498,2,2020-08-08,1
4120-AN,1,572,2,2020-08-08,1
4134-A,1,535,2,2020-08-08,1
4124-A,1,826,2,2020-08-08,1
4132-A,1,513,2,2020-08-08,1
4128-AN,1,637,2,2020-08-08,1
4154-AC,1,551,2,2020-08-08,1
4184-AN,1,335,2,2020-08-08,1
4156-AC,1,551,2,2020-08-08,1
4164-AN,1,871,2,2020-08-08,1
4182-AN,1,1098,2,2020-08-08,1
4166-AN,1,855,2,2020-08-08,1
